file_name,date,location,win_start_time,n_cols,n_freq_channels,sample_interval_s,freq_min_mhz,freq_max_mhz,n_boxes
own-SkylineHighSchool-240501-67.npy,240501,SkylineHighSchool,16:45:00,8974,411,0.10029,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240501-72.npy,240501,SkylineHighSchool,18:00:00,8974,411,0.10029,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240503-75.npy,240503,SkylineHighSchool,18:45:00,8987,411,0.100145,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240503-82.npy,240503,SkylineHighSchool,20:30:00,8987,411,0.100145,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240504-64.npy,240504,SkylineHighSchool,16:00:00,8996,411,0.100044,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240508-67.npy,240508,SkylineHighSchool,16:45:00,8963,411,0.100413,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240508-72.npy,240508,SkylineHighSchool,18:00:00,8963,411,0.100413,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240508-74.npy,240508,SkylineHighSchool,18:30:00,8963,411,0.100413,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240509-70.npy,240509,SkylineHighSchool,17:30:00,8953,411,0.100525,15.996000289916992,24.003999710083008,1
own-Huron-240514-51.npy,240514,Huron,12:45:00,9002,411,0.099978,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240514-51.npy,240514,SkylineHighSchool,12:45:00,8999,411,0.100011,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240514-67.npy,240514,SkylineHighSchool,16:45:00,8999,411,0.100011,15.996000289916992,24.003999710083008,2
own-SkylineHighSchool-240514-68.npy,240514,SkylineHighSchool,17:00:00,8999,411,0.100011,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240519-69.npy,240519,SkylineHighSchool,17:15:00,8946,411,0.100604,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240519-71.npy,240519,SkylineHighSchool,17:45:00,8946,411,0.100604,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240607-65.npy,240607,SkylineHighSchool,16:15:00,8936,411,0.100716,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240607-75.npy,240607,SkylineHighSchool,18:45:00,8935,411,0.100727,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240608-84.npy,240608,SkylineHighSchool,21:00:00,8985,411,0.100167,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240611-66.npy,240611,SkylineHighSchool,16:30:00,8932,411,0.100761,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240619-62.npy,240619,SkylineHighSchool,15:30:00,8955,411,0.100503,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240619-65.npy,240619,SkylineHighSchool,16:15:00,8955,411,0.100503,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240620-70.npy,240620,SkylineHighSchool,17:30:00,8970,411,0.100334,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240621-95.npy,240621,SkylineHighSchool,23:45:00,8943,411,0.100637,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240623-85.npy,240623,SkylineHighSchool,21:15:00,8981,411,0.100212,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240624-66.npy,240624,SkylineHighSchool,16:30:00,8954,411,0.100514,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240627-61.npy,240627,SkylineHighSchool,15:15:00,8998,411,0.100022,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240627-84.npy,240627,SkylineHighSchool,21:00:00,8998,411,0.100022,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240629-65.npy,240629,SkylineHighSchool,16:15:00,8982,411,0.1002,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240701-68.npy,240701,SkylineHighSchool,17:00:00,8962,411,0.100424,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240704-58.npy,240704,SkylineHighSchool,14:30:00,8939,411,0.100682,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240724-69.npy,240724,SkylineHighSchool,17:15:00,8987,411,0.100145,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240725-62.npy,240725,SkylineHighSchool,15:30:00,8985,411,0.100167,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240725-67.npy,240725,SkylineHighSchool,16:45:00,8985,411,0.100167,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240726-69.npy,240726,SkylineHighSchool,17:15:00,8963,411,0.100413,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240726-86.npy,240726,SkylineHighSchool,21:30:00,8962,411,0.100424,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240728-72.npy,240728,SkylineHighSchool,18:00:00,8938,411,0.100694,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240729-69.npy,240729,SkylineHighSchool,17:15:00,8962,411,0.100424,15.996000289916992,24.003999710083008,1
