file_name,source_event,type,box_start_col,box_end_col,clipped
own-SkylineHighSchool-240519-69.npy,burst-SkylineHighSchool-240519-171835024-type3.npy,III,2137,2803,False
own-SkylineHighSchool-240519-71.npy,burst-SkylineHighSchool-240519-175505010-type3.npy,III,6013,7057,False
own-SkylineHighSchool-240607-65.npy,burst-SkylineHighSchool-240607-162335031-type3.npy,III,5113,5222,False
own-SkylineHighSchool-240607-75.npy,burst-SkylineHighSchool-240607-185503008-type3.npy,III,5986,6284,False
own-SkylineHighSchool-240608-84.npy,burst-SkylineHighSchool-240608-210024066-type3.npy,III,240,1358,False
own-SkylineHighSchool-240611-66.npy,burst-SkylineHighSchool-240611-163959042-type3.npy,III,5945,6104,False
own-SkylineHighSchool-240619-62.npy,burst-SkylineHighSchool-240619-153826016-type3.npy,III,5034,5283,False
own-SkylineHighSchool-240619-65.npy,burst-SkylineHighSchool-240619-161938018-type3.npy,III,2766,2945,False
own-SkylineHighSchool-240620-70.npy,burst-SkylineHighSchool-240620-173009031-type3.npy,III,90,250,False
own-SkylineHighSchool-240621-95.npy,burst-SkylineHighSchool-240621-235450095-type2.npy,II,5863,6757,False
own-SkylineHighSchool-240623-85.npy,burst-SkylineHighSchool-240623-212517044-type3.npy,III,6157,6277,False
own-SkylineHighSchool-240624-66.npy,burst-SkylineHighSchool-240624-163326000-type3.npy,III,2049,2199,False
own-SkylineHighSchool-240627-61.npy,burst-SkylineHighSchool-240627-151751075-type3.npy,III,1710,1870,False
own-SkylineHighSchool-240627-84.npy,burst-SkylineHighSchool-240627-210327006-type3.npy,III,2069,2199,False
own-SkylineHighSchool-240629-65.npy,burst-SkylineHighSchool-240629-162924058-type3.npy,III,8623,8763,False
own-SkylineHighSchool-240701-68.npy,burst-SkylineHighSchool-240701-171240063-type3.npy,III,7568,8096,False
own-SkylineHighSchool-240704-58.npy,burst-SkylineHighSchool-240704-143621040-type2.npy,II,3784,8939,True
own-SkylineHighSchool-240724-69.npy,burst-SkylineHighSchool-240724-171525028-type3.npy,III,249,2955,False
own-SkylineHighSchool-240725-62.npy,burst-SkylineHighSchool-240725-153352051-type2.npy,II,2316,3464,False
own-SkylineHighSchool-240725-67.npy,burst-SkylineHighSchool-240725-164516036-type3.npy,III,160,350,False
own-SkylineHighSchool-240726-69.npy,burst-SkylineHighSchool-240726-172250082-type3.npy,III,4681,4989,False
own-SkylineHighSchool-240726-86.npy,burst-SkylineHighSchool-240726-213033011-type3.npy,III,328,577,False
own-SkylineHighSchool-240728-72.npy,burst-SkylineHighSchool-240728-181236096-type3.npy,III,7508,7835,False
own-SkylineHighSchool-240729-69.npy,burst-SkylineHighSchool-240729-172315042-type3.npy,III,4929,5895,False
